Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
1,GB7ZE DMR,Digital,	433.05000,	434.65000,,3,1,None,DMR GB7ZE,None,Off,Off,,,,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
2,GB3LR  Analogue,Analogue,	430.86250,	438.46250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
3,GB3HY  Analogue,Analogue,	430.90000,	438.50000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
4,GB3HE  Analogue,Analogue,	430.92500,	438.52500,25,,,,,,,,103.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
5,GB3BH  Analogue,Analogue,	430.98750,	438.58750,25,,,,,,,,None,77.0,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
6,GB7ZE  Analogue,Analogue,	433.05000,	434.65000,25,,,,,,,,103.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
7,GB3MH  Analogue,Analogue,	145.62500,	145.02500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
8,GB3ES  Analogue,Analogue,	145.67500,	145.07500,25,,,,,,,,103.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
9,GB3WS  Analogue,Analogue,	145.75000,	145.15000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
10,GB7RX  Analogue,Analogue,	145.77500,	145.17500,25,,,,,,,,103.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
11,RB1 Analogue,Analogue,	434.62500,	433.02500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
12,RB2 Analogue,Analogue,	434.65000,	433.05000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
13,RB3 Analogue,Analogue,	434.67500,	433.07500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
14,RB4 Analogue,Analogue,	434.70000,	433.10000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
15,RB5 Analogue,Analogue,	434.72500,	433.12500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
16,RB6 Analogue,Analogue,	434.75000,	433.15000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
17,RB7 Analogue,Analogue,	434.77500,	433.17500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
18,RB8 Analogue,Analogue,	434.80000,	433.20000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
19,RB9 Analogue,Analogue,	434.82500,	433.22500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
20,RB10 Analogue,Analogue,	434.85000,	433.25000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
21,RB11 Analogue,Analogue,	434.87500,	433.27500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
22,RB12 Analogue,Analogue,	434.90000,	433.30000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
23,RB13 Analogue,Analogue,	434.92500,	433.32500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
24,RB14 Analogue,Analogue,	434.95000,	433.35000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
25,RB15 Analogue,Analogue,	434.97500,	433.37500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
26,RU66 Analogue,Analogue,	430.82500,	438.42500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
27,RU67 Analogue,Analogue,	430.83750,	438.43750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
28,RU68 Analogue,Analogue,	430.85000,	438.45000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
29,RU69 Analogue,Analogue,	430.86250,	438.46250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
30,RU70 Analogue,Analogue,	438.47500,	430.87500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
31,RU71 Analogue,Analogue,	438.48750,	430.88750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
32,RU72 Analogue,Analogue,	438.50000,	430.90000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
33,RU73 Analogue,Analogue,	438.51250,	430.91250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
34,RU74 Analogue,Analogue,	438.52500,	430.92500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
35,RU75 Analogue,Analogue,	438.53750,	430.93750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
36,RU76 Analogue,Analogue,	438.55000,	430.95000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
37,RU77 Analogue,Analogue,	438.56250,	430.96250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
38,RU78 Analogue,Analogue,	438.57500,	430.97500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
39,RU79 Analogue,Analogue,	438.58750,	430.98750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
40,RV48 Analogue,Analogue,	145.60000,	145.00000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
41,RV49 Analogue,Analogue,	145.61250,	145.01250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
42,RV50 Analogue,Analogue,	145.62500,	145.02500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
43,RV51 Analogue,Analogue,	145.63750,	145.03750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
44,RV52 Analogue,Analogue,	145.65000,	145.05000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
45,RV53 Analogue,Analogue,	145.66250,	145.06250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
46,RV54 Analogue,Analogue,	145.67500,	145.07500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
47,RV55 Analogue,Analogue,	145.68750,	145.08750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
48,RV56 Analogue,Analogue,	145.70000,	145.10000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
49,RV57 Analogue,Analogue,	145.71250,	145.11250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
50,RV58 Analogue,Analogue,	145.72500,	145.12500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
51,RV59 Analogue,Analogue,	145.73750,	145.13750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
52,RV60 Analogue,Analogue,	145.75000,	145.15000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
53,RV61 Analogue,Analogue,	145.76250,	145.16250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
54,RV62 Analogue,Analogue,	145.77500,	145.17500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
55,RV63 Analogue,Analogue,	145.78750,	145.18750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
56,RV64 Analogue,Analogue,	145.17500,	144.57500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
57,V16 Analogue,Analogue,	145.20000,	145.20000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
58,V17 Analogue,Analogue,	145.21250,	145.21250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
59,V18 Analogue,Analogue,	145.22500,	145.22500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
60,V19 Analogue,Analogue,	145.23750,	145.23750,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
61,V20 Analogue,Analogue,	145.25000,	145.25000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
62,V21 Analogue,Analogue,	145.26250,	145.26250,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
63,V22 Analogue,Analogue,	145.27500,	145.27500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
64,V23 Analogue,Analogue,	145.27500,	145.27500,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
65,V24 Analogue,Analogue,	145.30000,	145.30000,25,,,,,,,,None,None,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
